Name,Nummer
"Hombrechtikon, Hofacherstrasse",8595329
"Walchwil, Hintermettlen",8595337
"Sihlbrugg, Alter Bahnhof",8595330
"Walchwil, Mütschi",8595332
"Walchwil, Oberdorf",8595339
Castione Officine (Stas),8510281
"Blatten b. Naters, Rischinen",8581343
"Les Emonnets, d'en bas",8580222
"Vich, poste",8501857
Löchligut (Abzw),8504449
Stand (Kleintitlis),8530927
"Andermatt, Krone",8594473
"Davos Glaris, Bahnhof",8574835
"Goldach, Rotenstein",8574268
Zumikon,8503066
"Le Sépey, Aux Caudreys",8570622
"Wittenbach, Im Grüntal",8574254
"Untereggen, Vogelherd",8574263
"Steinhausen, Turmstrasse",8595394
"Heerbrugg, Waldegg",8574135
"Baden, Gartenstrasse",8590173
"Grabserberg, Höhi",8574329
"Rorschach, Pädagogische Hochschule",8574281
"Grabserberg, Schluss",8574322
"Sax, Farnen",8574306
"Versam-Safien, Bahnhof",8574597
"Grabserberg, Madang",8574328
Egschi,8574599
"Safien, Rainmatte",8574601
Champlönch P1,8574639
"Grabserberg, Eggenberg",8574326
"Morcote, Burò",8575257
Villeret,8504309
Frauenfeld Marktplatz,8506171
Brail,8574635
"Vaz/Obervaz, Muldain",8574664
"Zürich, Manegg",8591268
Uttwil,8506122
Steckborn,8506136
Matzingen,8506174
"Grindelwald, Säge Grund",8594320
"St. Gallen, Grossacker",8574465
"Wolfhalden, Falken",8574475
"Les Masses, télésiège",8595607
"Chur, Heiligkreuz",8574697
"Chur, Hof",8574710
"Zürich, Laubiweg",8591246
Schüpbach (Signau),8516280
Pont-Céard,8501013
"Gnosca, rifugio animali",8581766
"St. Gallenkappel, Schule",8594374
"Chur, Kreuzgasse",8574695
"Maladers, Brandacker",8574711
Prodalp (Prodkamm),8530912
Mettlen (Fronalpstock),8530984
Bischofszell Stadt,8506213
"Etziken, Dorf",8578119
"Hofstetten SO, Ettingerstrasse",8581450
"Rorschacherberg, Seebleiche",8581484
"Unterbach BE, Rössli",8581476
"Nax, La Crettaz",8581781
"Münsingen, Erlenauweg",8581760
"Willisau, Chrüzhof",8581502
"Sursee, Frieslirain",8581469
"Lyss, Abzw. Hardern",8581783
"Uetendorf, Allmendstrasse",8581790
"Tremona, Gurnaga",8575643
"Zürich, Werd",8591427
"Davos Clavadel, Eggeli",8594478
"Brusio, La Presa Sur",8583090
Thalwil (See),8503674
"Gurzelen, Schulhaus",8581800
"Kreuzlingen Bernrain, Bahnhof",8581809
"Tschlin, Terza Storta",8581818
Zermatt Gant,8531164
"Chur, St. Antönierrank",8574494
"Kriens, Alpenstrasse",8581812
"Uetendorf, Schürhus",8581784
"Zürich, Werdhölzli (Wds)",8519531
"Münchenstein, APH Hofmatt",8595636
"St. Gallen, Theater",8574469
"Churwalden, Rüti",8574500
"Churwalden, Furnerschhus",8574499
Eschenz,8506138
"Chur, Turnerwiese",8595594
"Abtwil SG, Säntispark",8581774
"Escholzmatt, Riedgasse",8581814
Payerne,8504134
"Sils im Domleschg, Campi",8574531
"St. Moritz, Bahnhof",8574515
"Tumegl/Tomils, Rofna",8574524
"Noës, Ecole",8594612
"Arosa, Rathaus",8594663
"Malans GR, Postplatz",8574565
"Schwyz, Zentrum",8505095
"Corcelles-le-Jorat, village",8570431
"Fétigny, Les Sapelettes",8570401
"Corcelles-le-Jorat, Le Torel",8570430
"Chur, Reichsgasse",8594439
"Fürstenau, Dorf",8574583
"Unterlunkhofen, Breitenäcker",8502553
Schachen (Gais),8506384
"Diesbach GL, Hauptstrasse",8595522
"Crans-Montana, Etoile",8579469
"Ecublens VD, Coquerellaz",8591947
Opfikon Süd,8503035
"Semsales, ancienne église",8570447
"Chevroux, village",8570415
"Fürstenau, Fürstenaubruck",8574581
"Sierre, Stand",8594604
"Adelboden, Hotel Alpina",8594931
"Bulle, Prila",8595125
"Brot-Dessus, Le Joratel",8595195
"Chur, Boletta",8595001
"Brot-Dessus, Bureau Communal",8595194
Le Chésal,8500869
"Flanthey, poste",8501979
"Le Brassus, gare",8570024
"Bauma, Hörnen",8573279
"Loderio, Bivio",8505263
"Montbovon, gare",8508258
"Tenna, Post",8509892
"Wangs, Post",8509964
"Adelboden, Gilbach, des Alpes",8592310
La Joy-Clinique,8501058
"Wangen SZ, Brunnenhof",8574432
"Châtel-St-Denis, gare",8577718
"Loderio, Grotto",8578852
Areuse Les Isles Littorail,8594231
"Hägendorf, Bahnhof",8577908
"Lostorf, Dorfplatz",8577994
"Lostorf, Bachstrasse",8510614
"Distributore Socar, Caslano",8505134
"Näfels, Schnegg",8584992
"Klöntal, Plätz",8503756
"Lodrino, Bivio per Cresciano",8575202
"Meyrin, Mategnin",8594946
"Laufenburg, Regionalspital",8572424
"Enney, village",8594990
"Lessoc, gare",8508270
"Grenchen, Eigerweg",8594113
"Genève, Musée Voltaire",8592869
Archy A (bif),8515301
Kartause Ittingen,8506869
"Schwellbrunn, Rötschwil",8506637
"Pontresina, Post",8574936
Gotschnaboden (Gotschnagrat),8530885
"Niedermuhren, Dorf",8504595
"Chur, Quader Center",8595593
"Brienz BE, Bahnhof",8576728
"Matt, Dorf",8503255
"Hochfelden, Grabenstrasse",8504802
Renens VD,8501118
"Vaduz, Alte Rheinbrücke",8581821
"Triesen, Sonnenkreisel",8581841
"Delémont, rte de Rossemaison",8581826
"La Tour-de-Peilz, Pérouge",8595959
"Zürich, Kappeli",8591222
"Cerniaz VD, La Croisée",8570474
"Crêt-près-Semsales, Bremudens",8570455
"Corjolens, Maison Rouge",8570490
"Maloja, Capolago",8574960
"St. Moritz, Schulhausplatz",8574946
"Punt Muragl, Talstation",8574941
"Samedan, Spital",8574972
"St. Moritz Bad, Sonne",8574948
"Vicosoprano, Camping",8574967
Plaun da Lej,8574958
Muri bei Bern,8507062
Kaufdorf,8507074
Stettlen,8507066
Rüfenacht,8507054
"Gümligen, Siloah",8507053
"Renens VD, Caudray",8592218
"Ropraz, Corcelles-Jorat",8592224
"Genève, Philosophes",8592881
"La Chaux-de-Fonds, Armes-Réunies",8593658
"La Chaux-de-Fonds, Electrices",8593657
"Baar, Blegistrasse",8593397
"Le Sentier-L'Orient, gare",8579146
"Seewen SO, Säge",8572138
